,INSTNM,C100_4,GRAD CLASSES
0,Alabama A & M University,0.110200002789,0
1,University of Alabama at Birmingham,0.325800001621,1
2,Amridge University,0.0,0
3,University of Alabama in Huntsville,0.151600003242,0
4,Alabama State University,0.0751999989152,0
5,The University of Alabama,0.387699991465,1
6,Auburn University at Montgomery,0.0863000005484,0
7,Auburn University,0.422500014305,2
8,Birmingham Southern College,0.562200009823,2
9,Concordia College Alabama,0.0,0
10,South University-Montgomery,0.0476000010967,0
11,Faulkner University,0.11930000037,0
12,Herzing University-Birmingham,0.0,0
13,Huntingdon College,0.30039998889,1
14,Heritage Christian University,0.25,1
15,Jacksonville State University,0.0869000032544,0
16,Judson College,0.368400007486,1
17,University of West Alabama,0.19509999454,0
18,Miles College,0.0824000015855,0
19,University of Mobile,0.248999997973,1
20,University of Montevallo,0.207100003958,1
21,University of North Alabama,0.120399996638,0
22,Oakwood University,0.198799997568,0
23,Samford University,0.476599991322,2
24,Selma University,0.0377999991179,0
25,University of South Alabama,0.15379999578,0
26,Spring Hill College,0.508700013161,2
27,Southeastern Bible College,0.15379999578,0
28,Stillman College,0.120800003409,0
29,Talladega College,0.337599992752,1
30,Troy University,0.145600005984,0
31,Tuskegee University,0.213300004601,1
32,University of Alaska Anchorage,0.0802000015974,0
33,University of Alaska Fairbanks,0.149399995804,0
34,University of Alaska Southeast,0.0366999991238,0
35,Alaska Pacific University,0.533299982548,2
36,Charter College,0.2363999933,1
37,Everest College-Phoenix,0.13789999485,0
38,Collins College,0.360799998045,1
39,American Indian College Inc,0.0,0
40,CollegeAmerica-Flagstaff,0.266699999571,1
41,Brookline College-Phoenix,0.215700000525,1
42,Arizona State University-Tempe,0.428000003099,2
43,University of Arizona,0.400599986315,2
44,Southwest University of Visual Arts-Tucson,0.132100000978,0
45,Brown Mackie College-Tucson,0.10000000149,0
46,Embry-Riddle Aeronautical University-Prescott,0.346199989319,1
47,Grand Canyon University,0.181799992919,0
48,ITT Technical Institute-Tempe,0.142900004983,0
49,Northern Arizona University,0.331900000572,1
50,Prescott College,0.168500006199,0
51,Arizona Christian University,0.462700009346,2
52,Western International University,0.0,0
53,University of Arkansas at Little Rock,0.0813999995589,0
54,Arkansas Baptist College,0.0447999984026,0
55,Lyon College,0.490200012922,2
56,University of Arkansas,0.372200012207,1
57,University of Arkansas at Pine Bluff,0.0976999998093,0
58,Arkansas State University-Main Campus,0.202000007033,1
59,Arkansas Tech University,0.243799999356,1
60,University of Arkansas at Monticello,0.159799993038,0
61,University of Central Arkansas,0.21400000155,1
62,Central Baptist College,0.326099991798,1
63,Crowley's Ridge College,0.0588000006974,0
64,Harding University,0.433699995279,2
65,Henderson State University,0.185100004077,0
66,Hendrix College,0.660499989986,3
67,John Brown University,0.52120000124,2
68,Ouachita Baptist University,0.507399976254,2
69,University of the Ozarks,0.369199991226,1
70,Philander Smith College,0.235699996352,1
71,Williams Baptist College,0.2867000103,1
72,Southern Arkansas University Main Campus,0.181500002742,0
73,University of Arkansas-Fort Smith,0.128800004721,0
74,Academy of Art University,0.049699999392,0
75,Art Center College of Design,0.313400000334,1
76,Azusa Pacific University,0.467900007963,2
77,Bethesda University,0.416700005531,2
78,Biola University,0.50830000639,2
79,Brooks Institute,0.527599990368,2
80,California Baptist University,0.400499999523,2
81,California College of the Arts,0.287400007248,1
82,California Institute of Technology,0.847500026226,4
83,California Lutheran University,0.583000004292,2
84,California Polytechnic State University-San Luis Obispo,0.361400008202,1
85,California State University-Bakersfield,0.159799993038,0
86,California State University-Stanislaus,0.147900000215,0
87,California State University-San Bernardino,0.125799998641,0
88,California State Polytechnic University-Pomona,0.11779999733,0
89,California State University-Chico,0.196899995208,0
90,California State University-Dominguez Hills,0.0472000017762,0
91,California State University-Fresno,0.147200003266,0
92,California State University-Fullerton,0.139400005341,0
93,California State University-East Bay,0.104000002146,0
94,California State University-Long Beach,0.149000003934,0
95,California State University-Los Angeles,0.0626000016928,0
96,California State University-Northridge,0.119000002742,0
97,California State University-Sacramento,0.075300000608,0
98,University of California-Berkeley,0.716600000858,3
99,University of California-Davis,0.534799993038,2
100,University of California-Irvine,0.682099997997,3
101,University of California-Los Angeles,0.718100011349,3
102,University of California-Riverside,0.442900002003,2
103,University of California-San Diego,0.57080000639,2
104,University of California-Santa Barbara,0.691900014877,3
105,University of California-Santa Cruz,0.550499975681,2
106,California Institute of the Arts,0.643299996853,3
107,California State University Maritime Academy,0.418300002813,2
108,Chapman University,0.581300020218,2
109,Concordia University-Irvine,0.472400009632,2
110,San Diego Christian College,0.30910000205,1
111,Claremont McKenna College,0.800000011921,4
112,Cogswell College,0.0,0
113,Coleman University,0.411799997091,2
114,Columbia College-Hollywood,0.333299994469,1
115,Design Institute of San Diego,0.333299994469,1
116,Dominican University of California,0.546800017357,2
117,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,0.538500010967,2
118,FIDM-Fashion Institute of Design & Merchandising-San Francisco,0.5,2
119,Fresno Pacific University,0.489800006151,2
120,Harvey Mudd College,0.846499979496,4
121,Holy Names University,0.275200009346,1
122,Humboldt State University,0.125900000334,0
123,Humphreys University-Stockton and Modesto Campuses,0.612900018692,3
124,ITT Technical Institute-National City,0.0,0
125,ITT Technical Institute-San Dimas,0.333299994469,1
126,American Jewish University,0.27270001173,1
127,Life Pacific College,0.152199998498,0
128,Argosy University-The Art Institute of California-San Diego,0.469599992037,2
129,University of La Verne,0.407400012016,2
130,Laguna College of Art and Design,0.258599996567,1
131,Lincoln University,0.333299994469,1
132,La Sierra University,0.239800006151,1
133,The Master's University and Seminary,0.534399986267,2
134,Argosy University-The Art Institute of California-San Francisco,0.212999999523,1
135,Loyola Marymount University,0.688600003719,3
136,Menlo College,0.356700003147,1
137,Mills College,0.595700025558,2
138,Mount Saint Mary's University,0.497000008821,2
139,Musicians Institute,0.5,2
140,The National Hispanic University,0.0,0
141,National University,0.192300006747,0
142,Newschool of Architecture and Design,0.0,0
143,Notre Dame de Namur University,0.428600013256,2
144,Occidental College,0.800899982452,4
145,Otis College of Art and Design,0.519999980927,2
146,Hope International University,0.287400007248,1
147,Pacific States University,0.0,0
148,Pacific Union College,0.300000011921,1
149,University of the Pacific,0.42919999361,2
150,Pepperdine University,0.747799992561,3
151,Pitzer College,0.801500022411,4
152,Point Loma Nazarene University,0.591099977493,2
153,Pomona College,0.900499999523,4
154,Westwood College-South Bay,0.231900006533,1
155,University of Redlands,0.625899970531,3
156,Argosy University-San Francisco Bay Area,0.0,0
157,San Diego State University,0.294299989939,1
158,University of San Diego,0.665600001812,3
159,San Francisco Art Institute,0.315800011158,1
160,San Francisco Conservatory of Music,0.472200006247,2
161,San Francisco State University,0.149200007319,0
162,University of San Francisco,0.610000014305,3
163,William Jessup University,0.563600003719,2
164,San Jose State University,0.0947000011802,0
165,Westwood College-Los Angeles,0.331699997187,1
166,Santa Clara University,0.779500007629,3
167,Scripps College,0.800800025463,4
168,Shasta Bible College and Graduate School,0.142900004983,0
169,Simpson University,0.408499985933,2
170,Saint Mary's College of California,0.555700004101,2
171,Sonoma State University,0.272199988365,1
172,Vanguard University of Southern California,0.488299995661,2
173,Southern California Institute of Architecture,0.0344999991357,0
174,University of Southern California,0.757000029087,3
175,Thomas Aquinas College,0.629199981689,3
176,Epic Bible College,0.125,0
177,Walden University,0.333299994469,1
178,Westmont College,0.739400029182,3
179,Whittier College,0.596199989319,2
180,Woodbury University,0.132899999619,0
181,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,0.379299998283,1
182,Adams State University,0.0940999984741,0
183,University of Colorado Denver/Anschutz Medical Campus,0.150600001216,0
184,University of Colorado Colorado Springs,0.267899990082,1
185,University of Colorado Boulder,0.460900008678,2
186,Colorado Christian University,0.302500009537,1
187,Colorado College,0.814499974251,4
188,The Art Institute of Colorado,0.144800007343,0
189,Colorado School of Mines,0.463200002909,2
190,Colorado State University-Fort Collins,0.386000007391,1
191,Colorado Technical University-Colorado Springs,0.140400007367,0
192,CollegeAmerica-Denver,0.19509999454,0
193,Westwood College-Denver North,0.076700001955,0
194,University of Denver,0.656899988651,3
195,Fort Lewis College,0.179399996996,0
196,Colorado Mesa University,0.161899998784,0
197,Metropolitan State University of Denver,0.0458999983966,0
198,Naropa University,0.196400001645,0
199,National American University-Colorado Springs,0.0,0
200,National American University-Denver,0.0,0
201,Nazarene Bible College,0.0,0
202,University of Northern Colorado,0.269400000572,1
203,Regis University,0.423000007868,2
204,Rocky Mountain College of Art and Design,0.453099995852,2
205,Colorado State University-Pueblo,0.159700006247,0
206,Western State Colorado University,0.190799996257,0
207,Albertus Magnus College,0.343899995089,1
208,Lincoln College of New England-Southington,0.0908999964595,0
209,University of Bridgeport,0.202700003982,1
210,Central Connecticut State University,0.215100005269,1
211,Connecticut College,0.780900001526,3
212,University of Connecticut,0.671199977398,3
213,Eastern Connecticut State University,0.391099989414,1
214,Fairfield University,0.766099989414,3
215,University of Hartford,0.445300012827,2
216,Holy Apostles College and Seminary,0.0,0
217,Lyme Academy College of Fine Arts,0.81819999218,4
218,Mitchell College,0.39849999547,1
219,University of New Haven,0.388799995184,1
220,Paier College of Art Inc,0.482800006866,2
221,Post University,0.170499995351,0
222,Quinnipiac University,0.717800021172,3
223,Sacred Heart University,0.594299972057,2
224,University of Saint Joseph,0.408899992704,2
225,Southern Connecticut State University,0.227500006557,1
226,Trinity College,0.787800014019,3
227,Wesleyan University,0.869899988174,4
228,Western Connecticut State University,0.196099996567,0
229,Yale University,0.873899996281,4
230,Delaware State University,0.213599994779,1
231,University of Delaware,0.679600000381,3
232,Goldey-Beacom College,0.333299994469,1
233,Wesley College,0.139300003648,0
234,Wilmington University,0.125,0
235,American University,0.763700008392,3
236,Catholic University of America,0.596000015736,2
237,University of the District of Columbia,0.0469000004232,0
238,Gallaudet University,0.162000000477,0
239,George Washington University,0.723699986935,3
240,Georgetown University,0.910199999809,4
241,Howard University,0.425900012255,2
242,Strayer University-District of Columbia,0.13330000639,0
243,Trinity Washington University,0.324900001287,1
244,The Art Institute of Fort Lauderdale,0.232600003481,1
245,The Baptist College of Florida,0.265300005674,1
246,Barry University,0.205500006676,1
247,Bethune-Cookman University,0.275400012732,1
248,Lynn University,0.347799986601,1
249,Carlos Albizu University-Miami,0.5,2
250,Johnson University Florida,0.1875,0
251,University of Central Florida,0.401399999857,2
252,Clearwater Christian College,0.355399996042,1
253,South University-West Palm Beach,0.0571000017226,0
254,Eckerd College,0.58109998703,2
255,Edward Waters College,0.0304000005126,0
256,Embry-Riddle Aeronautical University-Daytona Beach,0.307200014591,1
257,Florida Agricultural and Mechanical University,0.121500000358,0
258,Florida Atlantic University,0.170699998736,0
259,Flagler College-St Augustine,0.4837000072,2
260,Florida College,0.122299998999,0
261,Adventist University of Health Sciences,0.0,0
262,Florida Institute of Technology,0.388999998569,1
263,Florida International University,0.235699996352,1
264,Florida Memorial University,0.167600005865,0
265,Florida Career College-Miami,0.1053000018,0
266,Florida Southern College,0.557299971581,2
267,Florida State University,0.614099979401,3
268,University of Florida,0.67199999094,3
269,Everest University-Pompano Beach,0.235300004482,1
270,Full Sail University,0.490599989891,2
271,Hobe Sound Bible College,0.266699999571,1
272,Sanford-Brown College-Tampa,0.256399989128,1
273,AI Miami International University of Art and Design,0.230299994349,1
274,Jacksonville University,0.280099987984,1
275,Jones College-Jacksonville,0.0833000019193,0
276,Keiser University-Ft Lauderdale,0.00159999995958,0
277,Luther Rice College & Seminary,0.0,0
278,University of Miami,0.684800028801,3
279,Remington College-Tampa Campus,0.519999980927,2
280,Lincoln College of Technology-West Palm Beach,0.295100003481,1
281,University of North Florida,0.26210001111,1
282,Northwood University-Florida,0.25,1
283,Nova Southeastern University,0.317099988461,1
284,Everest University-North Orlando,0.315800011158,1
285,Palm Beach Atlantic University,0.428600013256,2
286,Ringling College of Art and Design,0.573000013828,2
287,Rollins College,0.631500005722,3
288,Saint Leo University,0.2825999856,1
289,Argosy University-Sarasota,0.666700005531,3
290,Saint John Vianney College Seminary,0.444400012493,2
291,University of South Florida-Main Campus,0.38710001111,1
292,St Thomas University,0.208499997854,1
293,Stetson University,0.557500004768,2
294,Southeastern University,0.310799986124,1
295,Talmudic College of Florida,0.800000011921,4
296,Everest University-Tampa,0.75,3
297,Everest University-Largo,0.0,0
298,The University of Tampa,0.516300022602,2
299,Trinity Baptist College,0.310799986124,1
300,Trinity College of Florida,0.0741000026464,0
301,Warner University,0.237800002098,1
302,Webber International University,0.181799992919,0
303,Rasmussen College-Florida,0.5,2
304,The University of West Florida,0.26890000701,1
305,Abraham Baldwin Agricultural College,0.0322999991477,0
306,Agnes Scott College,0.727800011635,3
307,Albany State University,0.10379999876,0
308,Armstrong State University,0.107799999416,0
309,The Art Institute of Atlanta,0.153999999166,0
310,Point University,0.226199999452,1
